srcase613,garyinlv01,,,,,
TeamTrumpTeX,garyinlv01,,,,,
TbwoodsWoods,garyinlv01,,,,,
Liberty2Cynthia,garyinlv01,,,,,
LJChiov,garyinlv01,,,,,
scott_felps,garyinlv01,,,,,
shopenauerwho,garyinlv01,,,,,
Bronco_7777,garyinlv01,,,,,
NormalGuyUSA,garyinlv01,,,,,
SnappyBHS,garyinlv01,,,,,
Jim_Peoples_,garyinlv01,,,,,
LisaCruiseprof,garyinlv01,,,,,
777denny_,garyinlv01,,,,,
agreatercountry,garyinlv01,,,,,
brendanoe60,garyinlv01,,,,,
amymariewillard,garyinlv01,,,,,
Chisholmswife,garyinlv01,,,,,
sheila06942158,garyinlv01,,,,,
clearimages,garyinlv01,,,,,
NormanDMuelle,garyinlv01,,,,,
bakabev,garyinlv01,,,,,
gutiemary,garyinlv01,,,,,
TroyMGood1,garyinlv01,,,,,
bennett1128,garyinlv01,,,,,
StacyBrewer18,garyinlv01,,,,,
ellimayradrep,garyinlv01,,,,,
ressiger1111,garyinlv01,,,,,
TheUndine3,garyinlv01,,,,,
uliso_lisa,garyinlv01,,,,,
TuxieTaylor13,garyinlv01,,,,,
Rapnay,garyinlv01,,,,,
MMwiley204,garyinlv01,,,,,
susan13347,garyinlv01,,,,,
RachelMaga_,srcase613,,,,,
Amoroso1Pat,TeamTrumpTeX,,,,,
Frankb550,TeamTrumpTeX,,,,,
MAGAusafirst,TeamTrumpTeX,,,,,
Artwo23,TeamTrumpTeX,,,,,
garyinlv01,TbwoodsWoods,,,,,
big_carsonrocks,LJChiov,,,,,
katiedolan,Bronco_7777,,,,,
Marine0141,Bronco_7777,,,,,
jamesbott007,Bronco_7777,,,,,
idebbie1,Bronco_7777,,,,,
Katascadero,Bronco_7777,,,,,
copsspouse,Jim_Peoples_,,,,,
maggiehill222,Jim_Peoples_,,,,,
RNRWashDC,Jim_Peoples_,,,,,
Gulags_lv,Jim_Peoples_,,,,,
krissunset,Jim_Peoples_,,,,,
1Kimsey,Jim_Peoples_,,,,,
mikezzz111,Jim_Peoples_,,,,,
Patriot_Girl71,Jim_Peoples_,,,,,
JerryMcBeth2,Jim_Peoples_,,,,,
TerriLSelby,LisaCruiseprof,,,,,
HighRawMama,LisaCruiseprof,,,,,
SheltzMom,777denny_,,,,,
LRedderso,777denny_,,,,,
expertgush,agreatercountry,,,,,
Kayem623,agreatercountry,,,,,
JoAnnEileen,agreatercountry,,,,,
Debbierg51,agreatercountry,,,,,
Trumpetteco,brendanoe60,,,,,
Ga_Bunnie,amymariewillard,,,,,
AlbaVeritas,amymariewillard,,,,,
lisam02184,sheila06942158,,,,,
hottocool,clearimages,,,,,
laurape00486139,gutiemary,,,,,
GigiLs88,TroyMGood1,,,,,
DebbieC35106726,TroyMGood1,,,,,
kimberly_kucera,TroyMGood1,,,,,
CAgirlsforTrump,TroyMGood1,,,,,
erik_pronovost,TroyMGood1,,,,,
KarrieFleetwood,TroyMGood1,,,,,
lightning_grl,StacyBrewer18,,,,,
paexia,StacyBrewer18,,,,,
DCLobbyist49,Frankb550,,,,,
love_america18,JerryMcBeth2,,,,,
garyinlv01,null,,,,,
garyinlv01,null,,,,,
garyinlv01,null,,,,,
garyinlv01,null,,,,,
garyinlv01,null,,,,,
garyinlv01,null,,,,,
garyinlv01,null,,,,,
,,,,,,
,,,,,,0.512820513
